id,s_time,e_time,query,merge_type,length
UDAQU_NLM0B,0.0,12.0,person sneezing multiple times.,Same Scene,64.16
UDAQU_NLM0B,0.0,12.0,a person is sneezing on their sandwich.,Same Scene,64.16
UDAQU_NLM0B,15.3,20.4,a person puts a sandwich on top of a book.,Same Scene,64.16
UDAQU_NLM0B,41.72,46.72,person they close the box.,Same Scene,64.16
FNPEY_Y4X8J_3U1SS,0.0,7.0,person running through a hallway.,Same Scene,80.91
FNPEY_Y4X8J_3U1SS,41.82,50.42,person pull the window open.,Same Scene,80.91
FNPEY_Y4X8J_3U1SS,50.33,65.03,the person fixes their hair.,Same Scene,80.91
FNPEY_Y4X8J_3U1SS,50.33,65.03,personlaying on floor gets up.,Same Scene,80.91
DML20_8TNSB_YVOVB,0.0,6.4,a person takes off their shoes.,Same Scene,80.03
DML20_8TNSB_YVOVB,30.42,37.72,a person opens a door.,Same Scene,80.03
DML20_8TNSB_YVOVB,30.62,39.82,a second person runs through the door.,Same Scene,80.03
DML20_8TNSB_YVOVB,30.42,37.72,a person opens the door.,Same Scene,80.03
DML20_8TNSB_YVOVB,61.84,70.54,a person is smiling.,Same Scene,80.03
Z9WWJ_96GC9_9RKTE_CY6U7_J2DBI,0.0,6.9,person holding a broom.,Same Scene,128.71
Z9WWJ_96GC9_9RKTE_CY6U7_J2DBI,3.3,7.4,the person throws the broom into a corner.,Same Scene,128.71
Z9WWJ_96GC9_9RKTE_CY6U7_J2DBI,0.0,7.5,a person runs into the basement.,Same Scene,128.71
Z9WWJ_96GC9_9RKTE_CY6U7_J2DBI,0.0,6.9,a person runs down the stairs holding a broom.,Same Scene,128.71
Z9WWJ_96GC9_9RKTE_CY6U7_J2DBI,31.28,43.38,person the other eats some food.,Same Scene,128.71
Z9WWJ_96GC9_9RKTE_CY6U7_J2DBI,71.58,78.78,person opening a door.,Same Scene,128.71
Z9WWJ_96GC9_9RKTE_CY6U7_J2DBI,79.83,90.13,a person sits in a chair.,Same Scene,128.71
Z9WWJ_96GC9_9RKTE_CY6U7_J2DBI,85.33,92.53,person stand up.,Same Scene,128.71
Z9WWJ_96GC9_9RKTE_CY6U7_J2DBI,120.33,129.83,person start smiling.,Same Scene,128.71
Z9WWJ_96GC9_9RKTE_CY6U7_J2DBI,120.33,129.83,person finally smiling.,Same Scene,128.71
AEA8P_F1VEE_LLLXJ,0.0,4.0,person eats a sandwich.,Same Scene,83.38
AEA8P_F1VEE_LLLXJ,0.0,4.0,one person is in the basement eating a sandwich.,Same Scene,83.38
AEA8P_F1VEE_LLLXJ,0.0,4.0,a person is sitting at at table eating a sandwich.,Same Scene,83.38
AEA8P_F1VEE_LLLXJ,50.0,55.0,person opening a door.,Same Scene,83.38
AEA8P_F1VEE_LLLXJ,38.1,46.8,person they put on their shoes.,Same Scene,83.38
AEA8P_F1VEE_LLLXJ,38.1,46.8,person puts on shoes.,Same Scene,83.38
AEA8P_F1VEE_LLLXJ,42.2,51.2,person they take a mobile phone.,Same Scene,83.38
AEA8P_F1VEE_LLLXJ,38.1,46.8,person put some shoes on.,Same Scene,83.38
AEA8P_F1VEE_LLLXJ,56.81,66.01,another person is running with a bag.,Same Scene,83.38
